Country,DATE,MF(Gt),People(万人),Urbanization(%),GDP(亿美元),Oil(艾焦),Gas(艾焦),Coal(艾焦),一次能源消费量(艾焦)
中国,1993,8.1588,118517,27.99,6191.1195,5.9896,0.6083,25.8133,34.0475
中国,1994,8.5142,119850,28.51,5643.2185,6.0863,0.6371,27.51,36.1757
中国,1995,9.1487,121121,29.04,7344.8483,6.5723,0.6437,27.8527,37.2696
中国,1996,9.481,122389,30.48,8637.4931,7.2829,0.6745,29.1434,39.2668
中国,1997,9.5696,123626,31.91,9616.0198,7.9976,0.7127,28.5549,39.5321
中国,1998,9.9332,124761,33.35,10290.6075,8.2353,0.735,28.3382,39.602
中国,1999,10.4158,125786,34.78,10940.1048,8.7741,0.7799,29.1565,40.9898
中国,2000,10.7106,126743,36.22,12113.3165,9.4568,0.889,29.5611,42.481
中国,2001,11.4839,127627,37.66,13394.009,9.6597,0.9952,31.0887,44.8922
中国,2002,12.1822,128453,39.09,14705.5765,10.4242,1.0589,34.0828,48.8898
中国,2003,12.7996,129227,40.53,16602.8054,11.6451,1.2303,40.619,56.9475
中国,2004,14.1029,129988,41.76,19553.4677,13.6,1.4394,47.359,66.6329
中国,2005,15.0776,130756,42.99,22859.6115,13.8186,1.6911,55.4584,75.6978
中国,2006,16.7614,131448,44.34,27521.1866,14.8204,2.0802,60.9062,82.9741
中国,2007,18.0912,132129,45.89,35503.278,15.5288,2.5588,66.3261,90.1775
中国,2008,19.1544,132802,46.99,45943.3679,15.8691,2.9496,67.3773,93.6684
中国,2009,22.1388,133450,48.34,51016.9112,16.4891,3.2481,70.5781,97.772
中国,2010,24.8497,134091,49.95,60871.9175,18.7722,3.9195,73.226,104.6002
中国,2011,27.5439,134916,51.83,75515.457,19.4066,4.8659,79.717,112.8115
中国,2012,29.1009,135922,53.1,85321.8538,20.36,5.43,80.7205,117.45
中国,2013,31.4569,136726,54.49,95704.7111,21.27,6.19,82.4477,121.87
中国,2014,32.3153,137646,55.75,104756.2494,22.11,6.78,82.0969,125.03
中国,2015,31.8593,138326,57.33,110615.7262,23.8,7.01,80.3846,126.49
中国,2016,31.7993,139232,58.84,112333.1373,24.56,7.54,78.0328,127
中国,2017,32.0095,140011,60.24,123104.9133,25.86,8.69,78.8956,131.94
中国,2018,31.997,140541,61.5,138949.0786,27.12,10.22,80.4677,138.3
中国,2019,31.2008,141008,62.71,142799.6851,28.49,11.1,82.5201,144.74
中国,2020,32.9003,141212,63.89,146877.4416,28.744,12.1182,84.2492,149.4497
中国,2021,34.146,141260,64.72,178204.5951,29.522,13.6896,87.5357,157.9431
中国,2022,34.6251,141175,65.22,179631.7148,28.1575,13.5254,88.4142,159.3933
阿尔及利亚,1993,0.1657,2735,54.44,499.4558,0.3987,0.6428,0.0275,1.0728
阿尔及利亚,1994,0.1656,2794,55.22,425.4318,0.3818,0.6774,0.026,1.0869
阿尔及利亚,1995,0.1697,2848,56,417.6429,0.3713,0.728,0.026,1.1273
阿尔及利亚,1996,0.1606,2898,56.77,469.4155,0.3543,0.7477,0.0122,1.1157
阿尔及利亚,1997,0.147,2948,57.54,481.7761,0.3515,0.6985,0.0214,1.0723
阿尔及利亚,1998,0.1665,2992,58.31,481.8778,0.3624,0.7225,0.0229,1.1101
阿尔及利亚,1999,0.165,3035,59.12,486.4067,0.356,0.7384,0.0246,1.1212
阿尔及利亚,2000,0.1606,3077,59.92,547.904,0.3713,0.6876,0.0203,1.0798
阿尔及利亚,2001,0.1674,3120,60.71,547.447,0.3844,0.7104,0.0234,1.1189
阿尔及利亚,2002,0.1936,3162,61.5,567.6036,0.4262,0.7014,0.0308,1.159
阿尔及利亚,2003,0.2111,3206,62.28,678.6385,0.4434,0.7414,0.0254,1.2129
阿尔及利亚,2004,0.2263,3251,63.06,853.3258,0.4635,0.7628,0.0303,1.2592
阿尔及利亚,2005,0.234,3296,63.83,1031.9821,0.4832,0.8048,0.0249,1.3186
阿尔及利亚,2006,0.2473,3344,64.59,1170.2728,0.5034,0.8226,0.0369,1.3652
阿尔及利亚,2007,0.2724,3398,65.35,1349.7708,0.563,0.8417,0.0317,1.4387
阿尔及利亚,2008,0.3285,3457,66.1,1710.007,0.6117,0.8786,0.0317,1.5248
阿尔及利亚,2009,0.3773,3520,66.83,1372.11,0.6485,0.9436,0.0203,1.6159
阿尔及利亚,2010,0.3497,3586,67.54,1612.0731,0.6538,0.9118,0.013,1.5804
阿尔及利亚,2011,0.3366,3654,68.24,2000.131,0.692,0.9647,0.0115,1.6722
阿尔及利亚,2012,0.3391,3726,68.92,2090.5908,0.7358,1.0755,0.0122,1.8276
阿尔及利亚,2013,0.3461,3800,69.58,2097.55,0.7689,1.1564,0.0066,1.9331
阿尔及利亚,2014,0.3603,3876,70.22,2138.0998,0.7989,1.2993,0.0075,2.1082
阿尔及利亚,2015,0.407,3954,70.85,1659.7922,0.8501,1.3652,0.0056,2.2231
阿尔及利亚,2016,0.4134,4034,71.46,1600.3421,0.8264,1.3895,0.0021,2.2212
阿尔及利亚,2017,0.4121,4114,72.05,1700.9699,0.8118,1.4207,0.0076,2.2457
阿尔及利亚,2018,0.4352,4193,72.63,1749.1068,0.82,1.5627,0.0209,2.4106
阿尔及利亚,2019,0.3871,4271,73.19,1717.6028,0.853,1.622,0.0173,2.4997
